LinkID,src,dst,cap,IGP cost,TE cost,Affinity,delay,backgroundbw
0,0,8,30.0,88933.00, 0, 0, 0
1,0,9,30.0,149283.00, 0, 0, 0
2,9,10,30.0,59431.00, 0, 0, 0
3,9,1,30.0,106353.00, 0, 0, 0
4,9,2,30.0,129408.00, 0, 0, 0
5,9,6,30.0,185588.00, 0, 0, 0
6,9,7,30.0,164388.00, 0, 0, 0
7,10,1,30.0,94297.00, 0, 0, 0
8,10,2,30.0,114038.00, 0, 0, 0
9,10,6,30.0,190093.00, 0, 0, 0
10,10,7,30.0,164918.00, 0, 0, 0
11,1,2,30.0,84016.00, 0, 0, 0
12,0,6,30.0,121988.00, 0, 0, 0
13,1,3,30.0,107148.00, 0, 0, 0
14,1,4,30.0,139743.00, 0, 0, 0
15,1,5,30.0,113773.00, 0, 0, 0
16,1,7,30.0,136828.00, 0, 0, 0
17,2,3,30.0,70159.00, 0, 0, 0
18,2,4,30.0,124638.00, 0, 0, 0
19,2,5,30.0,112978.00, 0, 0, 0
20,3,4,30.0,103438.00, 0, 0, 0
21,3,5,30.0,102643.00, 0, 0, 0
22,4,5,30.0,91168.00, 0, 0, 0
23,0,7,30.0,132588.00, 0, 0, 0
24,4,6,30.0,187973.00, 0, 0, 0
25,4,7,30.0,151933.00, 0, 0, 0
26,5,7,30.0,119603.00, 0, 0, 0
27,6,7,30.0,93403.00, 0, 0, 0
28,8,9,30.0,121193.00, 0, 0, 0
29,8,10,30.0,130203.00, 0, 0, 0
30,8,1,30.0,124638.00, 0, 0, 0
31,8,5,30.0,150343.00, 0, 0, 0
32,8,6,30.0,125698.00, 0, 0, 0
33,8,7,30.0,117218.00, 0, 0, 0
